comentario;nota;data
Primeiro elevador urbano do mundo, em frente ao Mercado Modelo, e acesso ao Pelourinho. Você paga R$ 0,15 - com filas rápidas e tudo muito organizado. Ao chegar à parte alta, não deixe de desfrutar da bela vista da Baía de Todos os Santos, e de experimentar o melhor sorvete da cidade, no A Cubana.;5.0;set de 2022
A vista é bonita, mas na minha opinião não vale a ida pela quantidade de golpistas na área. Tentaram me aplicar um golpe, mas percebi e consegui escapar. Depois disso, outros 2 indivíduos tentaram me abordar. Não conhecem o significado da palavra “não”. Realmente, deixaram o passeio muito desagradável. Preferia não ter ido.;2.0;out de 2022
Linda vista do alto do elevador. O elevador, como meio de transporte é um espetáculo!  Muito rápido! Fomos numa sexta em final de dia. Pena que não tem vista! Valor 0,15 por pessoa.;4.0;jan de 2023
Vale o passeio.Falta de manutenção aparente.Como em todo mundo, ambulantes querendo vender até a mãe….Mas é o elevador Lacerda de Salvador!Sorria, você está na Bahia!;4.0;jan de 2023
"Um belo cartão postal, repleto de trombadinhas. Fomos seguidos por um rapaz, não vimos, fomos alertados pelo policial, na entrada do elevador. De acordo com a orientação do policial, deveríamos ficar atentos, pois o rapaz estava nos seguindo, falando no celular; e muito provavelmente, teria alguém nos esperando na saída. Saímos e voltamos imediatamente. Situação horrível. Decepcionante.";1.0;ago de 2022
O lugar em si não tem nada demais mas você não pode ir até Salvador e não tirar a foto clássica no elevador. O trajeto custa 15 centavos e facilita o acesso até o mercado. As pinturas, fitas e demais itens oferecidos sempre são pagos, então não aceite se não quiser se comprometer;4.0;ago de 2022
Excelente lugar para tirar fotos e contemplar a paisagem da Baía de Todos os Santos. A experiência dentro do elevador é igual a um elevador comum.;5.0;jul de 2022
Cartão postal da cidade com acesso entre o mercado modelo e pelourinho. Sem filas, cobrança de R$0,15/pessoa.Evite o assédio dos vendedores de rua.;4.0;jul de 2022
Sem dúvida que é um marco da cidade e mais um ponto que também ganhou uma fama desproporcional (assim como o Mercado Modelo), mas é extremamente prático para ter uma experiência turística e seguir pelos pontos históricos da cidade, e com um valor extremamente simbólico (R$ 0,15 em abril/2022, por pessoa). Claro que o que vale é a vista que se tem ao chegar na parte alta.;3.0;abr de 2022
É muita mal cuidado, não tem vista de dentro do elevador para a Bahia de todos os Santos.Por ser um ponto é bastante mal cuidado, principalmente quando ele desce em frente o mercado municipal.;1.0;jun de 2022
Não tem como ir a Salvador e não passar pelo elevador, que une parte alta a baixa...Ver a cruz inclinada, ir ao mercado modelo, que tem coisas especiais...Muito bom, a vista e atendimento dos baianos...Que educação!;5.0;jun de 2022
É um elevador pra te transportar, mas você consegue fazer isso com um preço ótimo e tendo uma vista linda. Mas, para todos os cantos que você olha, se encanta com Salvador! ;5.0;jun de 2022
O Elevador é um meio de visitar a cidade alta de salvador... é espetacular a vista lá de cima e saindo do elevador já estamos na praça da sé e Pelourinho. Valor 0.15 centavos para subir e o mesmo valor para descer.;5.0;set de 2022
O Elevador Lacerda é um ponto pitoresco de Salvador, para voce ir do Pelourinho ao Mercado Modelo. Esteja preparado por que o ingresso custa R$0,15 e não tem bilheteria, voce tem que ter as moedas para ter acesso.;4.0;ago de 2022
Vista bonita, mas vc não sente segurança e não consegue apreciar tranquilamente com o tanto de gente pedindo dinheiro e tentando vender as coisas ou te pintar, igual acontece no Pelourinho. Falta de fiscalização para que o turismo possa acontecer com sentimento de segurança.;2.0;fev de 2022
"Local muito bonito e excelente vista... rende lindas fotos.Não deixe colocar fitas, fazer pinturas corporais, colares ""de graça/presente...sem antes combinar o preço. Custa 0,15 centavos para descer ou subir. Vale a pena descer e visitar o Mercado Modelo.";5.0;fev de 2022
Famoso e com a melhor vista de Salvador.Apesar de lotado na hora de pico vale a pena o pequeno passeio de $ 0,25 centavos.Porem lugar sujo e na parte da cidade baixa é preciso ficar atento aos  vendedores ambulantes.;4.0;abr de 2022
"Muito mal cuidado, muuuuito quente, elevador é lotado, a ""cobradora"" mal humorada, porém é bem baratinho para descer/subir somente 0,15 centavos. Por ser um dos pontos turísticos podia ser mais cuidado, no mínimo com a limpeza e pintura. A vista da cidade de cima é bem ampla e dá para ter uma noção de como é a cidade de baixo (o mercado modelo é bem em frente)";2.0;abr de 2022
Em manutenção e revitalização.Área do elevador muito degradada.O elevador parecia que ia cair com só 6 pessoas!Horrível;1.0;mai de 2022
Utilizamos o elevador para acessar a parte baixa da cidade, é cobrado uma tarifa simbólica de 0,15 centavos, se não me engano. A descida foi muito ruim, elevador sujo, abafado, e mal cuidado, na descida o elevador tremia muito. Na parte de cima existem muitos vendedores ambulantes CHATOS / OPORTUNISTAS te oferencendo fitinhas a todos custo. Seja duro e sempre rejeite. O local é bem policiado e não me senti inseguro.;3.0;mar de 2022
Nós fomos descer o elevador Lacerda para irmos ao Mercado Modelo durante a tarde, não tinha fila e entramos tranquilamente no elevador.  Aí foi o susto.  Ele trepidou muito durante a descida,  a ponto de moradores locais terem comentado que não era normal de acontecer. ;3.0;mar de 2022
Um dos poucos prédios públicos inteiro do Centro histórico.Mas não tem o charme do que se vê em fotos, com filas enormes e todo mundo socado dentro do elevador. Quem deve gostar do elevador Lacerda deve ser o virus chinês ;4.0;jan de 2022
Perda de tempo e paciência com abordagens constantes de golpistas e vendedores inconvenientes. O visual é até legal mas é quase impossível ter 1 minuto para conseguir fazer uma boa foto, tamanha a abordagem de ambulantes. Além de tudo cuidado com colares, pulseiras e celulares, devido ao alto risco de assaltos no local.;1.0;dez de 2021
O Elevador Lacerda é um símbolo de dois andares de Salvador, um dos mais conhecidos cartões portais da Bahia. Apesar de secular, é um conjunto moderno, que recebeu várias reformas ao longo dos anos.;5.0;out de 2021
O que é aquilo gente. Meu DEUS do céu!! Horrível!! Nunca mais volto. Parece até um filme de terror!!  Estrutura decadente, descaso total, vários menores tentando assaltar os turistas e a guarda que fazia o policiamento dizendo que não poderia fazer nada, que nós os turistas é que não deveríamos dar mole, tendo que esconder relógio, carteira, cordão e celular. Mas como assim?? Um ponto turístico como aquele e o turista é quem está errado?? Errado sim mas de estar alí. Lamentável. ;1.0;dez de 2021
A vista para a Cidade Baixa é o principal atrativo. O elevador em si não tem nada demais. A quantidade de pessoas assediando turistas com quinquilharias pode ser irritante.;3.0;dez de 2021
Vale a pena a visita! A vista é linda psra fotos! Só não de trela para os vendedores, não deixe colocar fitinhas, fazer pinturas sem combinar o preço antes!;5.0;fev de 2022
Não há ida à Salvador se não passar pelo elevador Lacerda, é história e tradição. Ele não tem vista panorâmica, é um meio de acesso que liga as cidades alta e baixa. O preço é justo. De cima há uma vista da Baía de Todos os Santos bem bonita. Merece ser visitado;4.0;jan de 2022
Local histórico que merece ser visitado. Mas por ser um meio de transporte e não exclusivo para turista é bem simples. Um caixote de metal cheio de gente (não há distanciamento entre as pessoas). Ainda bem que sobe rápido pois dá agonia de ficar lá dentro. A vista lá em cima é bonita mesmo. Mas cuidado com as abordagens. Não é muito seguro.;3.0;jan de 2022
Estou vendo muitas pessoas dizendo fujam, furada e outras coisas. Mas ir para Salvador e não ir no Elevador, é como ir ao Rio de Janeiro e não ir no Bondinho. Ele não é panorâmico como alguns pensam, ele é um meio de transporte público utilizado pelos moradores e turistas, ele de baixo é imponente e de cima é uma das vistas mais lindas de Salvador. O valor para subir ou descer é de apenas 0,15 (centavos). Sim tem um monte de pessoas que ficam em cima para tentar te pintar, colocar fitinha, disto fujam mesmo, e, tomem cuidado com objetos de valor, como em qualquer cidade grande e turística. Só deixe de ir.;5.0;nov de 2021
Um ponto turismo famosíssimo que vale a pena a visita, 0,15 centavos a passagem, e vale a pena parar na cidade baixa pra subir e ir andando pro pelô;5.0;jan de 2022
Imperdivel,  principalmente se você estiver subindo. Ao final pode ter uma bela vista da bahia de todos os santos. E muito barato, 15 centavos de tarifa.;5.0;out de 2021
Tem uma vista bonita e só. As abordagens são irritantes, eu super entendo que o turismo precisa ser utilizado, mas as abordagens são insuportáveis e você não tem paz, gera insegurança. A parte superior é banhado a xixi, um cheiro horrível! Na parte inferior você é abordado por pessoas que se dizem da prefeitura, começam dando dicas sobre locais violentos, ou seja te colocando medo. Ai na sequência els fingem de dar um um presente, geralmente um colar e depois começam uma pressão pra vc comprar os itens que estão superfaturados. Ai o colar que foi um brinde, na verdade é uma marcação, lá em cima eles olham para o seu colar e começam com outras abordagens e sua experiência vai ficando pior.. eu fiquei 2 minutos e fui embora. Va de uber, pois você é roubado para parar o carro. Enfim, não recomendo.;1.0;set de 2021
É um elevador comum, sem vista panorâmica de dentro, mas de cima, no salão tem uma bela vista da baia de todos os santos. Quando fui (Dez/21) estava R$0,15, troco máximo pra R$1,50. Então leve moedas ou compra uma água na frente.Fiz só o trajeto de descida Não muda nada da subida, só o sentido. Pra visitar o Pelourinho sobe, pra visitar o mercado Modelo, desce.;3.0;dez de 2021
Passeio excelente. Vale muito a pena conhecer. Fui com a equipe da Luck Passeios e recomendo sem pestanejar. Guia Ariel o melhor;5.0;dez de 2021
O elevador é muito bonito para tirar fotos, tanto da parte de baixo, quanto da parte de cima com a baía de todos os santos de fundo.Por dentro é um elevador comum, porém vale a experiência.Para utilizar o elevador são 15 centavos;5.0;nov de 2021
Monumento histórico da cidade. Elevador ainda em funcionamento entre moradores e turistas, pagando valor simbólico.;5.0;nov de 2021
A estrutura do elevador Lacerda é muito interessante e facilita a vida dos turistas e dos moradores com certeza. ;5.0;nov de 2021
No dia 30 de outubro de 2021 por volta das 15:00 no elevador Lacerda, unca foi tão  mal tratada em tudo minha vida por parte de uma funcionária que estava trabalhando na parte de baixo do elevador. Dei para ela um valor para ela me perguntou se e não sabia  ler o que estava escrito e que eu era igualmente  e mal educada,  enfim um cartão postal como é elevador Lacerda não  pode ter uma senhora como esse trabalho pós  não  tem perfil para lidar com pessoas muito menos em uma cidade como Salvador que é  conhecido como uma cidade de boa receptação e hostipalidade.;1.0;out de 2021
Elevador que liga a cidade baixa com o alto e rumo ao pelourinho. Nada demais , apesar de ser cartao postal da cidade e figurar em tantas imagens de Salvador. barato e bem cuidado. tem acessorista e fila organizada.;3.0;out de 2021
Só um elevador. Me senti muito inseguro. A cidade estava muito suja. Acho que foi pontual.O entorno do lado do Mercado Modelo tinha policiamento, mas em cima não.;3.0;jul de 2021
O local é interessante e tem uma boa estrutura, porém a atração em si não oferece nenhuma experiência adicional.Acredito que se o elevador fosse panorâmico, valorizaria muito como atração turística.;3.0;jul de 2021
Alem de ser lindo e deixar toda a região muito interessante, por R$0,15 você sobe e desce e consegue se locomover bem pela centro histórico, fora uma vista maravilhosa;5.0;jul de 2021
"(eng below)o elevador lacerda é parte do sistema de transporte público de salvador e é o primeiro elevador urbano do mundo. a estrutura, hoje, conta com 72 metros de altura e 2 torres. o elevador é o principal meio de transporte da cidade baixa (praça cairu) à cidade alta (praça tomé de sousa). esse é um dosprincipais pontos turísticos da cidade e é quase que uma obrigação realizar uma viagem nele. o valor (creio eu até que simbólico) de R$ 0,15 é bastante convidativo. do ponto alto do elevador, é possível ter uma vista incrível da baía de todos-os-santos, além de ser possível provar sorvetes da sorveteria, ""a cubana"", famosa na cidade. ao descermos em menos de 1 minuto de viagem, ficamos à frente do mercado modelo, outro ponto turístico da cidade.no fundo, não há nada demais no elevador e há quem ache que este seja panorâmico (o que seria muito lega), mas infelizmente não é. vale para falar que você foi pelo menos uma vez na vida.---the elevator is one of salvador's public transport systems and is the world's first urban elevator. the structure, today, is 72 meters high and has 2 towers. the elevator is the main means of transport from the lower city (from Cairu Square) to the upper city (Tomé de Sousa Square). this is one of the main tourist attractions in the city and it is almost a must to take a trip there. the value (even symbolic i believe) of R$ 0.15 is quite inviting. from the top of the elevator, it is possible to have an incredible view of the bay of all saints, in addition to being able to taste ice cream from the ice cream parlor ""a cubana"", famous in the city. when we got off in less than 1 minute of travel, we were in front of the ""mercado modelo"", another tourist spot in the city.in the end, there's nothing really that special about the elevator and some people think it's panoramic (which would be really cool), but unfortunately it's not. this is one of those places you have to go to at least once.";3.0;set de 2021
Vale a pena a visita, vista lá de cima é surreal, a descida ou subida dentro do elevador é super normal pois não tem vista panorâmica, custa 0,15 por pessoa. Recomendo o passeio;4.0;set de 2021
A descida ou subida custa apenas R$0.15 centavos. O elevador Lacerda é o mais antigo elevador de rua do mundo. De lá se tem a vista da baia de todos os santos e é lindo. Apeoveite pra ir também por volta das 17hrs pra curtir o cair da tarde, o por do sol de lá é sensacional.;5.0;ago de 2021
A vista da parte de cima do elevador Lacerda é muito bonita, porém neste local você se depara com muitos ambulantes vendendo colares e fazendo pinturas, que ficam insistindo e praticamente colocam o colar no seu pescoço forçando a compra. O inconveniente é grande!;4.0;jul de 2021
Linda vista panorâmica da cidade. Podemos ir de carro até a cidade baixa deixar estacionado e visitar o mercado modelo, e em seguida o elevador da acesso a cidade alta, onde temos uma bela vista da cidadee acesso ao Pelourinho.;5.0;ago de 2021
Muito boa a experiência nesse lugar, com poucos pedintes e poucas pessoas para bater foto. Uma excelente vista é no pôr do Sol.;5.0;jul de 2021
É um elevador moderno mas que permaneceu com a arquitetura antiga por fora, você paga 0,15 centavos para cada vez que subir/descer, vale a pena parar na janela para admirar a baía de todos os santos. É um passeio rápido.;4.0;jul de 2021
Péssimo.Perca de tempo.Não sei se e a prefeitura, o iphan ou sela lá quem for, tem que tomar alguma medida de segurança seria.Os turistas, são massacrados, abusados e coagidos pelas vendedores ambulantes. Tudo em busca de uma foto nessa praça do elevador.Não somente nesse local, no aeroporto também e assim.Visitei no dia 14/04, e tive inúmeras situações que até poderiam ser caracterizadas como ameaça, quando voce se recusa a comprar algum item dos vendedores ambulantes.Veio um senhor com as pulseirinhas coloridas, falei por inúmeras vezes que não queria(já havíamos sido avisados sobre isso) e mesmo assim na insistência ele praticamente nos obrigou a colocar essa tal pulseira. Após isso, veio querendo vender uns colares artesanais, negamos, e dissemos que não queríamos. A partir desse momento, o cara começou a gritar e fazer ameaças.Após isso, acabou nosso passeio...Resolvemos ir embora para o hotel, nesse meio tempo, apareceram mais 5 pessoas abordando pedindo alguma coisa, mas não e simplesmente pedido, e quase lhe obrigando a dar.Não voltaria.;1.0;abr de 2021
Gostamos muito de andar no elevador e conhecer a cidade alta e cidade baixa de Salvador. Super recomendo.;5.0;mar de 2021
Uma das melhores vistas da baia de todos os santos,vale muito a pena conhecer.em época de carnaval entao,a cidade nao dorme.;5.0;jan de 2021
Cartão postal de Salvador, o Elevador fica melhor nas fotos editadas de influencers que na vida real. Falta uma reforma no local para melhorar a estrutura. A vista ainda não é panorâmica para quem desce. Funcionários com cara fechada. ;3.0;jun de 2021
Um elevador que te leva da parte baixa para a alta, em frente ao mercado modelo, custa $0,15 centavos e dali vc anda até o Pelourinho.;3.0;jun de 2021
Fomos no Elevador Lacerda na tarde de hoje, e simplesmente abordamos a missão! Elevador sujo, fedido e velho. Na parte alta, logo na porta, tem muitos ambulantes que já vem te empurrando colares, pulseiras e se dizendo ser guia turístico, ficam gritando qual o melhor lugar para tirar fotos. A vista é linda, mas a insegurança do lugar faz com que não vale nem os $0,15 que se paga. Uma pena, pois cada vez mais se espanta os turistas! Desistimos de ir no Pelourinho após encontrar um casal, completamente insatisfeitos com os ambulantes do local! Fizeram um “serviço” de pintura no corpo, estilo Olodum, e obrigaram os mesmo a pagar R$80,00. E sem contar que a foto com as baianas custou a eles R$50,00. Muito triste, pois esperava uma cidade bonita, receptiva e animada! Encontramos uma cidade, suja, fedida, fortemente atingida pela pobreza e com pessoas mal educadas. Não amém senti segura em nenhum lugar da cidade, somente no quarto do Hotel.;1.0;jun de 2021
Elevador bonito e interessante. O elevador Lacerda faz a ligação entre a cidade alta e a cidade baixa. Para ser mais preciso, entre o Mercado Modelo e o Pelourinho. É baratinho apenas R$0,15 e não demora muito.;4.0;set de 2020
Sempre foi um sonho meu descer e subir por este histórico elevador , lindíssima panorâmica no alto da Bahia de Todos os Santos e preço de 0,15 centavos muito acessível !;5.0;mai de 2021
Lugar maravilhoso...uma vista maravilhosa...tudo muito limpo...Ótima segurança...policiais por toda parte...;5.0;jan de 2021
O local em si é bonito, ótima vista. Mas tem tanto, mas tanto, tanto ambulante invasivo e mal-educado que se torna impossível de permanecer mais do que três minutos. É gente querendo pintar você, é guia de turismo, é vendedor, é tudo que é tipo de gente para lhe deixar totalmente desconfortável. Nunca mais voltarei.;1.0;fev de 2021
Local maravilhoso para seConhecer e tirar uma linda foto panorâmica da baía de todos os Santos, pagasse apenas R$0,25 para subir ou descer o elevador. Um dos principais cartões postal de Salvador vale a pena uma foto;5.0;fev de 2021
O elavador Lacerda está muito bonito e conservado. Tem uma vista bacana ideal para ir do Pelourunho ao Mercado Modelo.;5.0;jan de 2021
Bela intervenção humana que oferece uma vista espetacular.Destino obrigatório para quem está em Salvador-BA.;4.0;mar de 2021
É apenas um elevador,  o preço desde 2014, que foi a primeira das 4 vezes que estive lá, o valor é de 0,15 centavos. O que acho justo,  é apenas um elevador.Devido a pandemia, confesso que na descida estava muito cheio, o que não me deixou muito confortável.Mas o visual é top!;4.0;mar de 2021
Como ponto turístico clássico, a vista é muito linda, principalmente no final do dia.Porém é extremamente desconfortável a abordagem dos “vendedores”, eles chegam amarrando fitinha, e nos sentimos forcados a comprar os colares que vendem. Avisam que tem muito roubo na região, instruem tirar correntes.. nos sentimos mal, e saímos do local sem conhecer como gostaríamos. Desistimos até de conhecer o pelourinho a pé, pois não nos sentimos seguros. Uma pena.O elevador em si é bem antigo, e serve como locomoção mesmo entre a parte baixa e alta, a um custo de 0,15 centavos. Estivemos no dia 06/03 que salvador estava em lockdow, e funcionou até as 17h.;2.0;mar de 2021
"Primeiro ponto que me chamou a atenção foi o custo de R$ 0,15 por pessoa para usar o elevador, que liga a parte baixa (mercado modelo) a parte alta (onde fica o Pelourinho). É bem rápido a subida e a descida e tem uma vista linda quando chega lá em cima. Existe um grande assédio de vendedores ambulantes do lado de fora do elevador, te oferecem uma pulseirinha como ""presente"" ou alguns querendo pintar seu braço... aí vale aquele bom senso, não precisa (e nem deve) ser grosso com eles, se não quer basta falar um NÃO firme ou dizer que já pegou ( no caso das pulseirinhas) e seguir adiante. Nenhum vendedor ambulante foi insistente ou desagradável após ouvir que eu não queria.  ";5.0;fev de 2021
O local e a vista são espetaculares, mas o assédio e a falta de educação dos ambulantes, aliado ao pouco policiamento (pelo menos no dia em que estive lá) acabem estragando o passeio e deixando sensação de insegurança.;3.0;fev de 2021
Muito assédio de drogados pedindo dinheiro, lugar cheira urina, elevador não estava funcionando por causa no Corona Vírus.Esperava mais do local, porem o assedio é tão grande que da vontade de ir embora assim que você chega.Voce fica com receio ate de tirar seu celular da bolsa para tirar fotos.Eles nao se importam com turistas, não vi policiamento.Não voltaria e acredito que se nao fizerem nada, os turistas vao perder o gosto de ir passear nesse local.A internet divulga muito mais e a imagem de la ta bem ruim!!!;2.0;jan de 2021
Uma vista exuberante, de um valor excepcional, cultura e poder da Bahia.Colírio para meu olhos aquela vista .Alô Bahia show ;5.0;dez de 2020
Quem vai a salvador deve tirar essa foto... Jel nosso guia... Recomendo +55 75 9178-6590 ele traça todos as jornadas e pontos deste local;5.0;jan de 2021
Um ponto obrigatório para quem vai a Salvador. Apesar de não ser panorâmico não subida e descida, tem uma bela vista no hall da cidade alta. Valor simbólico para utilização e cuidados com a pandemia sendo observados.;3.0;dez de 2020
Outro símbolo de Salvador, vale a pena conhecer pela vista. Na parte de cima, tem a bonita prefeitura, na parte de baixo, o famoso Mercado Modelo.Para usar o elevador, paga-se 15 centavos.;4.0;dez de 2020
A vista é linda, tem nada igual! Entretanto, muitos homens vendendo cordõezinhos, fitinhas e oferecendo para pintar o braço. O problema é que se juntam em sua volta criando uma confusão mental e não te deixam nem pensar. Vão segurando seu braço e não param de falar. Levaram 50 reais da minha amiga. Seja firme e não deixem eles se aproximar. E pouquíssimo policiamento na área. ;4.0;jan de 2021
Estive no elevador Lacerda, uma ótima vista da cidade, local para ótimas fotos, porém muito perigoso, tem ambulantes te abordando a todo instante, forçando você a pegar as fitinhas que dizem ser de graça e também querendo fazer as pinturas, ao descer para o mercado modelo presenciei a cena de um roubo de correntinha, não vão com joias que chamem atenção e cuidado com celular!! ;3.0;jan de 2021
Limpo. Vazio. Com medidas de distanciamento e higiene. Controle do número de pessoas por viagem. Mesmo preço desde 2010 (R$0,15);5.0;jan de 2021
Lugar lindo, excelente estrutura e a vista é maravilhosa. O valor cobrado é de 0,25 centavos, quantia irrisória para tanta beleza.;5.0;jan de 2021
O elevador Lacerda faz a ligação entre a cidade alta e a cidade baixa. Ou pra ser mais precisa, entre o Mercado Modelo e o Pelourinho. É baratinho e não demora muito. Mas até por ser um lugar com uma linda vista, valia a pena o elevador ser panorâmico. ;3.0;jan de 2021
É um ponto agradável que poderia ser mais bem explorado, não fosse a abordagem incomoda e por vezes agressiva e intimidatória  daquelas pessoas com fitas e cordões, não nos sentimos a vontade para realizar os registros fotográficos pq a todo instante uma abordagem e eles brigam entre si, não sei se atuando para realizar algo ilícito, o equipamento em si atende as expectativas, está sempre limpo, mas este fator externo acaba por comprometer a experiência.;4.0;jan de 2021
Tire fotos la de baixo e la de cima, o elevador apesar de nao ser panorâmico tem uma vista muito bonita ao chegar lá. Vale a visita. Tire foto do lado direito, para pegar a baia de todos os Santos.;5.0;dez de 2020
Se for pelo Pelourinho não pode deixar de ir e ver a vista do Elevador Lacerda e a Praça da Cruz Caída, se quiser acompanhar o pôr do sol de lá também é um show a parte. Aproveitem e tomem um sorvete na “A Cubana” que fica ao lado do elevador, não vão se arrepender. ;5.0;dez de 2020
É cobrado o valor de 0,15 para descer ou para subir. O passeio no elevador em si não é nada demais. Vale a pena mesmo para acessar o Mercado Modelo mais rápido. O ponto alto mesmo é a vista que se tem de cima. É um cartão postal sem dúvida.Único ponto negativo é que tem alguns caras meio mal encarados se oferecendo para tirar uma foto sua. É preciso cuidado.;5.0;dez de 2020
"É interessante que faça uma visita e ande no elevador. Mas não fique triste em não fazer! Cuidado com os ""pintores"" e as fitinhas do senhor do Bonfim, tudo é cobrado. Seja assertivo em negar ou aceitar, negocie!!";3.0;jan de 2021
Usamos mais como locomoção, estávamos subindo do Mercado Modelo para o Pelourinho. A vista lá em cima é bonita. É tão baratinho e rápido que vale a pena ir. Na saída tem uma sorveteria gostosa, A Cubana, mas também tem pessoas insistindo para te pintar.;3.0;jan de 2021
Vista bonita do local - há um tipo de mirante em torno do elevador que permite uma ótima opção para contemplar a Baía de Todos os Santos. Todavia é um ponto de passagem das pessoas que estão a trabalho no dia-a-dia, ficando bem cheio no horário de pico.;4.0;dez de 2020
Custa R$ 0,15 para utilizá-lo. Vale a pena gastar um tempo para apreciar a vista lá de cima. A viagem é rápida e não teve problemas.;5.0;dez de 2020
O elevador Lacerda é outro grande marco de Salvador. Faz o transporte das pessoas da cidade baixa para a cidade alta. Atualmente com 72 metros de altura. A taxa foi de 0,15 centavos. La de cima se tem uma linda vista.;5.0;dez de 2020
Não tem como ir a Salvador e não ir ao elevador tudo bem organizado pena que não tem uma vista panorâmica ;4.0;dez de 2020
